Median Sale Price,Price Per Sqft,Neighborhood,Average Listing Price,Trulia Popularity,Average Sale Price
312500,-,Greektown,3280000,89,351800
-,464,DePaul,1024818,3,657383
485000,443,North Center,825501,30,599500
439000,383,Roscoe Village,729357,24,511612
500000,336,Lakeview,629072,76,479285
387500,274,Sauganash,616851,36,428716
550000,290,Forest Glen,549578,74,550833
292500,410,Ravenswood,531831,9,396740
370000,459,West Town,478430,15,414688
255000,312,Irving Park,437041,11,292485
305000,323,Edison Park,425057,62,319266
325000,330,Logan Square,410174,7,360695
312500,246,Bridgeport,385106,25,334441
300000,234,North Park,360094,56,311916
280000,240,Norwood Park,338123,28,283375
285000,261,Portage Park,312814,12,291981
225000,322,Edgewater,304752,5,252934
160000,310,Hyde Park,293820,18,186982
224500,174,Belmont Central,260634,40,210202
-,-,Riverdale,250000,91,-
270000,228,Armour Square,242150,85,275222
133500,235,West Rogers Park,230024,13,176944
140000,194,Douglas,225902,44,194687
272500,188,Galewood,221752,70,260977
180000,160,Archer Heights,219280,81,181636
210000,194,Mount Greenwood,216095,51,208162
160000,148,Brighton Park,202573,66,151444
-,192,McKinley Park,199889,67,223653
228000,188,Hermosa,184823,57,222055
170000,151,West Lawn,174079,64,170439
169000,149,Ashburn,170326,48,160342
175000,128,Morgan Park,137638,50,174888
150000,120,Woodlawn,133737,46,137769
160500,111,Chatham,123089,45,146625
98000,88,Chicago Lawn,122421,35,100187
146250,123,Washington Heights / Brainerd,114151,47,135208
172000,129,Avalon Park,105742,73,159730
157000,96,East Garfield Park,101053,52,130222
109500,73,Austin,98299,10,116946
145000,100,Burnside,84283,90,123900
89000,77,South Chicago,77780,61,104222
29000,53,Jeffrey Manor,76670,87,55998
97000,88,West Pullman,66718,63,92911
50000,43,West Garfield Park,58782,68,45250
89000,71,North Lawndale,42805,54,100611
25000,30,Fuller Park,29822,86,45000
-,-,Near West Side,-,-,-
-,-,University Village,-,-,-
-,-,Wrigleyville,-,-,-
387500,530,Lincoln Park,1165799,2,461087
335000,441,Near North Side,980084,1,394605
409000,330,Bucktown,753243,8,432215
518750,520,Wicker Park,656380,17,566900
289750,-,Loop,617392,4,315788
490000,457,Ukranian Village,614894,49,466282
399000,360,Goose Island,542104,26,427720
350000,326,Near South Side,483060,14,376574
230000,238,Kenwood,440741,23,295125
206000,240,Lincoln Square,426058,41,253964
366500,280,Avondale,421127,19,374125
308000,270,University Village / Little Italy,396833,31,350619
197500,202,Pilsen,379349,37,217300
342500,163,Oakland,346258,82,342500
285000,240,Jefferson Park,335875,43,288628
284000,274,Albany Park,308864,27,302627
290750,184,Beverly,303138,16,281287
245000,207,Dunning,285919,22,247461
155000,167,Canaryville,256362,84,155000
238000,195,Cragin,249571,58,240500
-,183,Tri-Taylor,239166,59,244055
215000,205,Garfield Ridge,229205,34,229805
152500,203,Grand Boulevard,223537,32,182785
228000,201,Montclare,220852,71,223258
208500,189,Clearing,216536,42,199022
247500,273,Uptown,215910,6,243196
171500,154,Scottsdale,200182,78,171901
-,211,O'Hare,190295,-,146522
173750,210,Rogers Park,178368,21,203589
156000,168,West Elsdon,173421,83,163172
130000,123,Gage Park,143825,75,134311
129250,100,Hegewisch,135376,80,123468
125000,108,East Side,132507,77,112833
88500,99,South Shore,122592,29,124500
140000,140,Humboldt Park,117679,20,158769
150000,103,Auburn Gresham,110876,33,134238
158250,119,Calumet Heights,101469,69,149538
90000,94,Greater Grand Crossing,98306,55,112133
83000,65,Pullman,95777,79,78722
67500,93,Little Village,80231,38,79928
86000,83,Roseland,77738,39,97903
72000,63,South Deering,69645,88,65833
82500,-,Washington Park,65637,72,84900
-,53,Back of the Yards,56575,65,67611
28250,25,West Englewood,37945,60,28625
69500,107,Englewood,29062,53,213750
-,-,New City,-,-,-
-,-,Washington Heights - Brainerd,-,-,-
