community,2012_Crime,2013_Crime,2014_Crime,2015_Crime,2016_Crime
1,3914.254190090714,3533.3532914721645,3137.9739426055266,3137.285814226157,3461.2547900400145
2,2796.7404373794943,2538.9541521052547,2235.4673624564775,1925.3016609758745,2126.7689126507307
3,4240.389482231999,3602.968713391438,2955.8915911333734,3066.281328469277,3423.723212536038
4,3300.690286094409,2997.2055930279744,2290.4064537140202,2213.652662201495,2505.185981934151
5,3760.0356544281713,3355.4519030968368,2705.9436586116544,2486.422001067411,2398.7290503670342
6,4968.27474432077,4254.3347203162275,3440.975746482702,3398.004110745696,3564.346334589224
7,5301.583139810921,4541.4239057809045,4052.509276264216,3624.2072046740172,4158.228322832384
8,8144.494053789208,7187.214247837099,6050.037580846184,6230.98771947466,7385.312583003122
9,1074.056173137855,985.1863793504926,797.6196877632586,816.0703075957294,1193.488756079613
10,1881.074868948149,1506.9564367404005,1468.8042301561838,1517.7111716621112,1618.6529968281873
11,2712.313429893824,2460.048885080578,2325.61818728345,2036.2483906110683,2075.281531978405
12,1824.8764574787713,1354.045210065071,1174.5650355051234,1204.5290291495987,1592.407741880333
13,3519.6245733788974,2911.6754242204274,2808.2586536179715,2511.4090535446003,2934.953245512245
14,2865.693947066094,2560.950830951115,2183.4416907007826,2450.217075208044,2548.3454553810006
15,3365.6435110394,2923.499667499046,2407.3817994393426,2474.9669374645814,2407.1526822559217
16,3955.8565414074887,3600.276587772201,2716.3413691765336,2957.588185420993,2873.1624313090806
17,2291.957140401502,2111.6801712276374,1539.2263714411217,1654.8689496843047,1974.0242338393025
18,3026.063908113666,2269.39970717424,1790.6536613771977,1990.445859872604,2152.0080610335417
19,3791.3946753098094,3356.4487783617865,2679.0710865430988,2540.405478065467,2816.602277554245
20,3885.4423801481844,3588.2916131354787,3158.658683424859,3108.765221728085,3016.186869533158
21,4576.884912904075,3796.335893083575,3124.5362223588895,3258.2359476862357,3262.157351755841
22,5545.415279151816,4741.811202528647,3993.0232890615384,3905.265445063934,4641.6041571864025
23,7829.784419078699,6562.668905965919,5611.430791083966,5606.352961709639,6689.690053580424
24,7128.131878542358,6299.046478072459,5611.736183867044,5311.709092763363,6637.526307269418
25,8680.053298758194,7711.445198312522,6897.022070471027,6651.12490520484,7586.141973819523
26,13578.54730723507,11306.045248429979,10260.225837511998,10611.928737412856,12881.749409614602
27,11509.837009002858,10052.36215857135,9182.345631903867,8539.931406173158,9514.883259890701
28,9513.30483937737,8094.796898620857,7414.297924340216,7215.117065908537,8991.26391386079
29,11084.949108828603,9339.719866960586,8948.572517992197,8589.012854717812,10259.765914366553
30,3315.9412151606,2946.414074143507,2699.3032498914117,2468.7825713759935,2964.6266453609583
31,4628.245487533938,4502.799605892432,4016.7322774008667,3704.4060939376186,4079.6058652852985
32,15416.483585461163,14198.452558708837,12746.435933915516,13391.920068290512,15640.194489462783
33,4628.4218764463085,3742.8419150206964,3515.362017259363,3351.5669307184057,3453.8862356496325
34,5562.549404221756,4616.376905070793,4750.764284586574,3887.5661845705245,3758.869242031801
35,7895.561609488876,8434.590700388044,7674.704921981695,8150.403625548958,9880.590729990778
36,5833.73018572695,4487.748276568153,4862.01465452302,5290.278254895253,6272.8338043702715
37,19947.961838681706,16514.302565614827,14482.395425819972,14477.726574500732,19257.92281142148
38,8617.526649157842,8723.807439607484,7944.323065718974,7797.57020724713,8702.168158050417
39,5468.917379881166,4388.0482232928825,4321.638819886325,3703.071672354933,4153.402024213009
40,13435.786024646088,13414.26790313373,11884.155080313458,11311.592477981432,12115.482085071186
41,4638.9510816166885,4272.9615351526445,3543.822492015895,3683.9759777603067,4339.257312772332
42,8384.31202061893,7648.496614312048,6518.726166518972,6271.749601871615,6626.858126787182
43,11409.177965456725,10354.680804580135,8621.263712115984,8848.367428343117,8820.994247381217
44,11864.224644543083,11936.653415151595,10543.583416289495,10041.391173466696,11121.782417759403
45,9697.175910173528,8407.097530414978,7469.235321728213,6368.507831821919,6067.986427694168
46,9768.358996447027,8685.719807029784,7149.737240958998,7211.171315320482,7844.031211695118
47,9681.734966906039,8313.70869906518,6474.247685185193,6380.638063806361,5949.724825226838
48,8154.204908965696,6358.53958703672,6070.810677211995,5349.147749587572,5417.585578674839
49,9016.656511202358,8424.236390615522,7308.337401577195,6916.952202529002,7674.197491737739
50,7722.173056610302,7478.601267856571,8718.930398109665,6833.154588631884,8606.338536922362
51,6997.990877497896,7177.872352128309,6930.610311633759,6027.455270494397,6194.386426711567
52,3215.5603452037035,2559.200654455434,2285.328280169851,2062.762518417541,2302.054208525519
53,8721.691668377262,7756.355347783455,6718.357800966955,6095.136127256058,6274.506722405205
54,10779.493174706906,9628.184321377159,9570.585494641955,10023.866348448642,11569.842614472376
55,3260.2886157135376,3304.898331455534,3015.9414045670133,2281.451046115594,2670.140019537595
56,3149.5464302216624,2788.1750821174965,2305.344502889814,2292.47605207747,2920.125624996314
57,4563.310393714745,4890.693729484361,3987.5553218527075,3493.735246050509,3337.5715193896763
58,3367.8551316345415,2867.8293278951182,2577.364852998001,2410.2991490482304,2580.978756222411
59,4478.188135375118,4307.731992003627,3296.2771458117627,3452.7434086933654,3324.2436047266374
60,3322.4166708816624,2863.78127195113,2809.186262791502,2609.380272185388,2620.6263652461857
61,6842.514950522081,6013.211994176689,5625.081444229258,5092.740449576267,5739.218325468997
62,3655.6565623888105,3666.3220608140814,2565.291136840114,2624.5899078269126,2903.953289602406
63,3791.7580468700767,3211.625686023729,2792.8232904536585,2633.9002845109217,2768.2278876635983
64,2210.243513042598,2001.5910082373293,1849.783907732448,1686.276175508633,1820.198274621373
65,4125.340121126957,3714.8391200022375,3396.8516984257576,3151.20711562889,3101.013202333443
66,6854.998604767874,5904.313748775652,5135.573128460642,4712.151092233106,5145.942297958355
67,12447.242292009218,11770.88226354667,9707.477954813892,8786.112063756647,10148.858928161488
68,13267.03873293387,12302.221454383387,11097.111843381079,10614.611519134063,10552.63876178093
69,11828.552865413925,10725.105448924296,9183.578846968892,9694.696470508614,10189.08794900609
70,3479.908362413216,3472.180418539833,2917.4804101747764,2536.4874072125676,3466.0022106186298
71,8313.955946391738,7927.01905017385,7386.252152870292,7251.303972270982,7501.350378106203
72,3385.533336048512,2725.412154309742,2285.619298938232,2623.9832065074784,2545.1768897938578
73,7094.450683498958,7109.227871939521,5720.987556156186,5189.781610121638,5669.2398807334785
74,1666.0051390252647,1439.3816916906965,1505.0358813052737,1378.0909540029634,1267.0848739146656
75,5947.945255275377,5372.73337810609,4545.623905510587,4456.916474083776,3979.0205781759832
76,5899.659337256158,5617.112957833248,5070.357907617022,5176.345393736704,5643.699002719849
77,3139.8052923503888,2603.16429487443,2099.531430298933,2119.8714664928098,2334.565883708477
