,community,cta
0,1,1
1,2,0
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
7,8,1
8,9,0
9,10,1
10,11,1
11,12,0
12,13,0
13,14,1
14,15,0
15,16,1
16,17,0
17,18,0
18,19,0
19,20,0
20,21,1
21,22,1
22,23,0
23,24,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
31,32,1
32,33,1
33,34,1
34,35,1
35,36,1
36,37,1
37,38,1
38,39,0
39,40,1
40,41,0
41,42,1
42,43,0
43,44,1
44,45,0
45,46,0
46,47,0
47,48,0
48,49,1
49,50,0
50,51,0
51,52,0
52,53,0
53,54,0
54,55,0
55,56,1
56,57,1
57,58,1
58,59,1
59,60,0
60,61,0
61,62,0
62,63,1
63,64,0
64,65,0
65,66,0
66,67,0
67,68,1
68,69,1
69,70,0
70,71,0
71,72,0
72,73,0
73,74,0
74,75,0
75,76,1
76,77,1
