community,2012_Income,2013_Income,2014_Income,2015_Income,2016_Income
1,37779,36461,35144,33826,32509
2,47941,48538,49136,49733,50331
3,44229,43961,43693,43425,43157
4,62076,62125,62174,62223,62272
5,90279,91425,92572,93718,94865
6,75730,76509,77288,78067,78846
7,87694,86904,86115,85325,84536
8,82169,82194,82220,82245,82271
9,79342,77036,74731,72425,70120
10,70578,70546,70514,70482,70450
11,62021,62463,62905,63347,63789
12,84347,80407,76468,72528,68589
13,52283,50687,49092,47496,45901
14,52666,54387,56108,57829,59550
15,54773,54596,54419,54242,54065
16,48758,46843,44929,43014,41100
17,60945,59890,58836,57781,56727
18,41387,39982,38578,37173,35769
19,43103,42911,42720,42528,42337
20,37327,34799,32271,29743,27215
21,44388,42745,41103,39460,37818
22,56115,57024,57933,58842,59751
23,32303,33119,33936,34752,35569
24,69962,70097,70232,70367,70502
25,31289,30580,29872,29163,28455
26,25362,25454,25546,25638,25730
27,22103,20219,18335,16451,14567
28,70307,71114,71921,72728,73535
29,23107,22708,22309,21910,21511
30,31229,30013,28797,27581,26365
31,35103,34049,32995,31941,30887
32,88756,92841,96926,101011,105096
33,74175,74377,74580,74782,74985
34,23590,24299,25008,25717,26426
35,32389,31526,30664,29801,28939
36,24815,26240,27666,29091,30517
37,16569,16854,17139,17424,17709
38,30347,29983,29620,29256,28893
39,39593,39735,39878,40020,40163
40,22059,21390,20722,20053,19385
41,48643,48285,47927,47569,47211
42,26452,25866,25281,24695,24110
43,26865,24707,22550,20392,18235
44,33849,35051,36254,37456,38659
45,44574,43459,42345,41230,40116
46,29452,28457,27463,26468,25474
47,25430,24640,23850,23060,22270
48,52393,50162,47932,45701,43471
49,37957,37438,36920,36401,35883
50,38175,35196,32218,29239,26261
51,33496,33678,33861,34043,34226
52,43629,43568,43507,43446,43385
53,34031,30548,27065,23582,20099
54,14579,14698,14817,14936,15055
55,49907,51591,53275,54959,56643
56,61669,61312,60955,60598,60241
57,42055,41186,40317,39448,38579
58,35667,34208,32750,31291,29833
59,42371,42219,42068,41916,41765
60,41707,39686,37665,35644,33623
61,30716,29097,27479,25860,24242
62,44876,43370,41864,40358,38852
63,37773,37010,36247,35484,34721
64,60222,61411,62600,63789,64978
65,48793,48654,48515,48376,48237
66,32601,31161,29722,28282,26843
67,26858,26738,26619,26499,26380
68,18744,18369,17994,17619,17244
69,25950,23896,21842,19788,17734
70,65200,63221,61242,59263,57284
71,29999,29113,28227,27341,26455
72,91239,92771,94303,95835,97367
73,40553,39566,38579,37592,36605
74,87851,87156,86462,85767,85073
75,61223,60313,59404,58494,57585
76,43259,41572,39885,38198,36511
77,44429,44721,45014,45306,45599
