id,name
2909,Austin
2892,Calumet Heights
2943,Lower West Side
2882,Austin
2928,Loop
2953,South Chicago
2890,Logan Square
2941,O'Hare
2945,Pullman
2918,Hyde Park
2880,Ashburn
2881,Auburn Gresham
2878,Archer Heights
2924,Lincoln Park
2904,Edison Park
2962,West Elsdon
2877,Albany Park
2965,West Lawn
2888,Bridgeport
2889,Brighton Park
2910,Garfield Ridge
2958,Near West Side
2896,Clearing
2932,Mount Greenwood
2884,Avondale
2955,South Shore
2926,South Lawndale
2956,Near West Side
2898,Lincoln Park
2899,Douglas
2922,Kenwood
2952,Ashburn
2879,Armour Square
2946,Lincoln Park
2894,Chatham
2886,Belmont Cragin
2942,Oakland
2950,Roseland
2925,Lincoln Square
2908,Gage Park
2931,Morgan Park
2936,New City
2917,Humboldt Park
2911,Near North Side
2944,Portage Park
2963,West Englewood
2938,North Lawndale
2937,North Center
2913,Greater Grand Crossing
2901,East Garfield Park
2930,Montclare
2915,Hegewisch
2960,Washington Heights
2900,Dunning
2951,Forest Glen
2906,Forest Glen
2947,Riverdale
2905,Englewood
2964,West Garfield Park
2912,Grand Boulevard
2966,West Pullman
2954,South Deering
2959,Uptown
2934,Near South Side
2939,North Park
2929,McKinley Park
2957,West Town
2920,Jefferson Park
2907,Fuller Park
2921,South Deering
2895,Chicago Lawn
2916,Hermosa
2887,Beverly
2883,Avalon Park
2948,Rogers Park
2940,Norwood Park
2902,East Side
2919,Irving Park
2933,Near North Side
2897,Belmont Cragin
2968,West Town
2967,West Ridge
2903,Edgewater
2961,Washington Park
2893,New City
2949,North Center
2969,West Town
2891,Burnside
2923,Lake view
2927,Logan Square
2914,Near West Side
2970,Woodlawn
