date,value
2000-01-01,97500
2000-02-01,82000
2000-03-01,82000
2000-04-01,89500
2000-05-01,100000
2000-06-01,99750
2000-07-01,98750
2000-08-01,101000
2000-09-01,102250
2000-10-01,105000
2000-11-01,105250
2000-12-01,106250
2001-01-01,105000
2001-02-01,105000
2001-03-01,105000
2001-04-01,104250
2001-05-01,100000
2001-06-01,113500
2001-07-01,115500
2001-08-01,116000
2001-09-01,122000
2001-10-01,126000
2001-11-01,125000
2001-12-01,126000
2002-01-01,124250
2002-02-01,121500
2002-03-01,111750
2002-04-01,118250
2002-05-01,132500
2002-06-01,135000
2002-07-01,135000
2002-08-01,130000
2002-09-01,129750
2002-10-01,140000
2002-11-01,145000
2002-12-01,145000
2003-01-01,135000
2003-02-01,131000
2003-03-01,140000
2003-04-01,132500
2003-05-01,135000
2003-06-01,150000
2003-07-01,152000
2003-08-01,156000
2003-09-01,170000
2003-10-01,175250
2003-11-01,185000
2003-12-01,175000
2004-01-01,167000
2004-02-01,160000
2004-03-01,159000
2004-04-01,157000
2004-05-01,155000
2004-06-01,160000
2004-07-01,180000
2004-08-01,179500
2004-09-01,175500
2004-10-01,176000
2004-11-01,182000
2004-12-01,205000
2005-01-01,205000
2005-02-01,202000
2005-03-01,210000
2005-04-01,195000
2005-05-01,185000
2005-06-01,186750
2005-07-01,210000
2005-08-01,214000
2005-09-01,212000
2005-10-01,210000
2005-11-01,210000
2005-12-01,206750
2006-01-01,205000
2006-02-01,200250
2006-03-01,197500
2006-04-01,225000
2006-05-01,218000
2006-06-01,250000
2006-07-01,240000
2006-08-01,235000
2006-09-01,234000
2006-10-01,232000
2006-11-01,233500
2006-12-01,232500
2007-01-01,235000
2007-02-01,225000
2007-03-01,220000
2007-04-01,213000
2007-05-01,232500
2007-06-01,229500
2007-07-01,226000
2007-08-01,204500
2007-09-01,210000
2007-10-01,221500
2007-11-01,232500
2007-12-01,257000
2008-01-01,266000
2008-02-01,220000
2008-03-01,202000
2008-04-01,213000
2008-05-01,220000
2008-06-01,192000
2008-07-01,180000
2008-08-01,114500
2008-09-01,119000
2008-10-01,146000
2008-11-01,140000
2008-12-01,110000
2009-01-01,85000
2009-02-01,63000
2009-03-01,68750
2009-04-01,105000
2009-05-01,115000
2009-06-01,105000
2009-07-01,52500
2009-08-01,50000
2009-09-01,52500
2009-10-01,76250
2009-11-01,58000
2009-12-01,52000
2010-01-01,49500
2010-02-01,42000
2010-03-01,37000
2010-04-01,40000
2010-05-01,66000
2010-06-01,74500
2010-07-01,65000
2010-08-01,77500
2010-09-01,100000
2010-10-01,90000
2010-11-01,80000
2010-12-01,44500
2011-01-01,56500
2011-02-01,55000
2011-03-01,55000
2011-04-01,47500
2011-05-01,45000
2011-06-01,60000
2011-07-01,64000
2011-08-01,82500
2011-09-01,80000
2011-10-01,80000
2011-11-01,68000
2011-12-01,71000
2012-01-01,88500
2012-02-01,76500
2012-03-01,48500
2012-04-01,55000
2012-05-01,45000
2012-06-01,55000
2012-07-01,45000
2012-08-01,71500
2012-09-01,79500
2012-10-01,80000
2012-11-01,84000
2012-12-01,81000
2013-01-01,83000
2013-02-01,81000
2013-03-01,75000
2013-04-01,79500
2013-05-01,73000
2013-06-01,71000
2013-07-01,67500
2013-08-01,60250
2013-09-01,66000
2013-10-01,55154
2013-11-01,82500
2013-12-01,70000
2014-01-01,96500
2014-02-01,84500
2014-03-01,101000
2014-04-01,110000
2014-05-01,125000
2014-06-01,100000
2014-07-01,107500
2014-08-01,97750
2014-09-01,108750
2014-10-01,102500
2014-11-01,104250
2014-12-01,100000
2015-01-01,90000
2015-02-01,94000
2015-03-01,81000
2015-04-01,80500
2015-05-01,86000
2015-06-01,112500
2015-07-01,130000
2015-08-01,157000
2015-09-01,174500
2015-10-01,180000
2015-11-01,154250
2015-12-01,150000
2016-01-01,147000
2016-02-01,145500
2016-03-01,144000
2016-04-01,107500
2016-05-01,104900
2016-06-01,126000
2016-07-01,148250
2016-08-01,160000
2016-09-01,157500
2016-10-01,151000
2016-11-01,130000
2016-12-01,130000
2017-01-01,143000
2017-02-01,151500
